Organization/Person Name,Organization/Person Name URL,Location,Industries,Number of Portfolio Organizations,Contact Email
Bpifrance,https://www.crunchbase.com/organization/bpifrance,"Maisons-alfort, Ile-de-France, France","Enterprise Software, Financial Services, FinTech, Internet of Things, Mobile","1,260",F3A@bpifrance.fr
Monzo,https://www.crunchbase.com/organization/monzo,"London, England, United Kingdom","Banking, Financial Services, FinTech, Wealth Management",1,hello@monzo.com
HTGF (High-Tech Gruenderfonds),https://www.crunchbase.com/organization/high-tech-gründerfonds,"Bonn, Nordrhein-Westfalen, Germany","Hardware, Health Care, Software, Venture Capital",674,info@htgf.de
British Business Bank,https://www.crunchbase.com/organization/british-business-bank,"Sheffield, Sheffield, United Kingdom","Banking, Finance, Financial Services, Venture Capital",61,info@british-business-bank.co.uk
Maven Capital Partners,https://www.crunchbase.com/organization/maven-capital-partners,"Glasgow, Glasgow City, United Kingdom","Finance, Financial Services, Funding Platform, Venture Capital",180,enquiries@mavencp.com
Deutsche Bank,https://www.crunchbase.com/organization/deutsche-bank,"Frankfurt, Hessen, Germany","Banking, Finance, Financial Services",217,deutsche.bank@db.com
LocalGlobe,https://www.crunchbase.com/organization/localglobe,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",302,rose@localglobe.vc
468 Capital,https://www.crunchbase.com/organization/468-capital,"Berlin, Berlin, Germany","Finance, Financial Services, Venture Capital",127,contact@468cap.com
Spintop Ventures,https://www.crunchbase.com/organization/spintop-ventures,"Östersund, Jamtlands Lan, Sweden","Finance, Financial Services, Venture Capital",49,finn.persson@spintopventures.com
Creandum,https://www.crunchbase.com/organization/creandum,"Stockholm, Stockholms Lan, Sweden","Finance, Financial Services, Venture Capital",149,info@creandum.com
Cherry Ventures,https://www.crunchbase.com/organization/cherry-ventures,"Berlin, Berlin, Germany","Angel Investment, Finance, Financial Services, Venture Capital",141,press@cherry.vc
Lakestar,https://www.crunchbase.com/organization/lakestar,"Zürich, Zurich, Switzerland","FinTech, Real Estate, Telecommunications",127,IR@lakestar.com
Amadeus Capital Partners,https://www.crunchbase.com/organization/amadeus-capital-partners,"Cambridge, Cambridgeshire, United Kingdom","Finance, Financial Services, Venture Capital",147,info@amadeuscapital.com
BNP Paribas,https://www.crunchbase.com/organization/bnp-paribas,"Paris, Ile-de-France, France","Banking, Consumer Lending, Financial Services, Innovation Management, Wealth Management",208,enquiries@au.bnpparibas.com
Octopus Ventures,https://www.crunchbase.com/organization/octopus-ventures,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",295,info@octopusvnetures.com
Seed Capital,https://www.crunchbase.com/organization/seed-capital,"Copenhagen, Hovedstaden, Denmark","Finance, Financial Services, Venture Capital",153,info@seedcapital.dk
Entrepreneurs First,https://www.crunchbase.com/organization/entrepreneur-first,"London, England, United Kingdom","Artificial Intelligence (AI), Finance, Financial Services, FinTech, Venture Capital",360,info@joinef.com
Tenity,https://www.crunchbase.com/organization/tenity,"Zürich, Zurich, Switzerland","Finance, Financial Services, FinTech, Incubators, InsurTech, Mobile Payments, Payments, Venture Capital",330,info@tenity.com
EQT,https://www.crunchbase.com/organization/eqt-holdings,"Stockholm, Stockholms Lan, Sweden","Banking, Business Development, Finance, Financial Services, Internet, Venture Capital",106,press@eqtpartners.com
Speedinvest,https://www.crunchbase.com/organization/speedinvest,"Vienna, Wien, Austria","Finance, Financial Services, Venture Capital",315,office@speedinvest.com
Parkwalk Advisors,https://www.crunchbase.com/organization/parkwalk-advisors,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",166,enquiries@parkwalkadvisors.com
Seaya,https://www.crunchbase.com/organization/seaya-ventures,"Madrid, Madrid, Spain","Finance, Financial Services, Venture Capital",57,info@seayaventures.com
Future Planet Capital,https://www.crunchbase.com/organization/future-planet-capital,"London, England, United Kingdom","Impact Investing, Venture Capital",187,info@futureplanetcapital.com
Haatch,https://www.crunchbase.com/organization/haatch,"Stamford, Lincolnshire, United Kingdom","Angel Investment, Finance, Venture Capital",136,hello@haatch.com
Anthemis,https://www.crunchbase.com/organization/anthemis-group,"London, England, United Kingdom","Asset Management, Finance, Financial Services, Venture Capital",160,ecosystemteam@anthemis.com
Santander,https://www.crunchbase.com/organization/banco-santander,"Boadilla Del Monte, Madrid, Spain","Banking, Commercial Lending, Finance, Financial Services, Personal Finance",88,accionistas@santander.com
LUMO labs,https://www.crunchbase.com/organization/lumo-labs,"Eindhoven, Noord-Brabant, The Netherlands","Business Development, Construction, Education, Health Care, Incubators, Real Estate, Software, Venture Capital",32,questions@lumolabs.io
Bosch Ventures,https://www.crunchbase.com/organization/robert-bosch-venture-capital,"Stuttgart, Baden-Wurttemberg, Germany",Venture Capital,93,Info.RBVC@de.bosch.com
IQ Capital,https://www.crunchbase.com/organization/iq-capital-partners,"London, England, United Kingdom",Venture Capital,90,hello@iqcapital.vc
Revo Capital,https://www.crunchbase.com/organization/revo-capital,"Istanbul, Istanbul, Turkey","Artificial Intelligence (AI), B2B, B2C, Big Data, FinTech, mHealth, PaaS",45,info@revo.vc
GSR,https://www.crunchbase.com/organization/gsr,"London, England, United Kingdom","Blockchain, Cryptocurrency, FinTech, Trading Platform",183,gsr@gsr.io
Ascension,https://www.crunchbase.com/organization/ascension-ventures-limited,"London, England, United Kingdom","Financial Services, FinTech, Venture Capital",205,info@ascension.vc
Bek Ventures,https://www.crunchbase.com/organization/bek-ventures,"Luxembourg, Luxembourg, Luxembourg","Business Development, Finance, Financial Services, Venture Capital",36,contact@bekventures.com
First Momentum Ventures,https://www.crunchbase.com/organization/first-momentum-ventures,"Karlsruhe, Baden-Wurttemberg, Germany","Information Technology, Venture Capital",37,founders@firstmomentum.vc
Practica Capital,https://www.crunchbase.com/organization/practica-capital,"Vilnius, Vilniaus Apskritis, Lithuania","Business Development, Finance, Financial Services, Venture Capital",74,info@practica.vc
The Twenty Minute VC,https://www.crunchbase.com/organization/the-twenty-minute-vc,"London, England, United Kingdom","Business Development, Finance, Podcast, Venture Capital",59,amy@x.ai
Cambridge Innovation Capital,https://www.crunchbase.com/organization/cambridge-innovation-capital,"Cambridge, Cambridgeshire, United Kingdom","Finance, Financial Services, Intellectual Property, Venture Capital",44,enquiries@cic.vc
Teya,https://www.crunchbase.com/organization/teya-34fe,"London, England, United Kingdom","Financial Services, FinTech, Information Technology",5,press@teya.com
AVP,https://www.crunchbase.com/organization/axa-strategic-ventures,"Paris, Ile-de-France, France","Finance, Financial Services, Venture Capital",88,sebastien.loubry@avpcap.com
RockawayX,https://www.crunchbase.com/organization/rockaway-blockchain,"Zürich, Zurich, Switzerland","Blockchain, Cryptocurrency, Financial Services, FinTech, Venture Capital",41,contact@rockawayx.com
Pitchdrive,https://www.crunchbase.com/organization/pitchdrive,"Antwerp, Antwerpen, Belgium","Financial Services, Internet",54,info@pitchdrive.com
Enterprise Ireland,https://www.crunchbase.com/organization/enterprise-ireland,"Dublin, Dublin, Ireland","Enterprise Software, Finance, Venture Capital",683,equitydept@enterprise-ireland.com
NRW.BANK,https://www.crunchbase.com/organization/nrw-bank,"Düsseldorf, Nordrhein-Westfalen, Germany","Angel Investment, Biotechnology, Semiconductor",79,info@nrwbank.de
Startup Wise Guys,https://www.crunchbase.com/organization/startup-wise-guys,"Tallinn, Harjumaa, Estonia","Banking, Financial Services, Venture Capital",452,info@startupwiseguys.com
JME Ventures,https://www.crunchbase.com/organization/fundacin-jos-manuel-entrecanales,"Madrid, Madrid, Spain","Angel Investment, Finance, Financial Services, FinTech, Impact Investing, Venture Capital",71,backme@jme.vc
Notion Capital,https://www.crunchbase.com/organization/notion-capital,"London, England, United Kingdom","Finance, Financial Services, FinTech, SaaS, Software, Venture Capital",155,info@notion.vc
CVC Capital Partners,https://www.crunchbase.com/organization/cvc-capital-partners,"Luxembourg, Luxembourg, Luxembourg","Finance, Financial Services, Venture Capital",91,info@cvc.com
