Organization/Person Name,Website,Contact Email
Bpifrance,https://www.bpifrance.com,F3A@bpifrance.fr
Venture Kick,http://www.venturekick.ch,info@venturekick.ch
Innovate UK,http://www.innovateuk.gov.uk,support@innovateuk.ukri.org
Wayra,https://www.wayra.com,wayra@wayra.org
Global Founders Capital,https://www.globalfounderscapital.com,contact@globalfounderscapital.com
HTGF (High-Tech Gruenderfonds),https://www.htgf.de,info@htgf.de
Enterprise Ireland,http://enterprise-ireland.com,equitydept@enterprise-ireland.com
Hiventures,https://hiventures.hu/hu,info@hiventures.hu
SFC Capital,http://www.sfccapital.com/,info@sfccapital.com
Technology Development Fund,https://en.rannis.is/funding/research/technology-development-fund,rannis@rannis.is
Seedcamp,http://www.seedcamp.com,info@seedcamp.com
Startup Wise Guys,https://startupwiseguys.com/,info@startupwiseguys.com
Almi Invest,https://www.almi.se/en/venture-capital/,anna.wennerstein@almiinvest.se
Startupbootcamp,http://www.startupbootcamp.org,info@startupbootcamp.org
Partech,https://partechpartners.com,media@partechpartners.com
Northstar Ventures,http://www.northstarventures.co.uk,hello@northstarventures.co.uk
Speedinvest,http://speedinvest.com,office@speedinvest.com
HV Capital,http://www.hvcapital.com,info@hvcapital.com
3i Group,http://www.3i.com,irteam@3i.com
Business Growth Fund,https://www.bgf.co.uk,enquiries@businessgrowthfund.co.uk
Entrepreneurs First,http://www.joinef.com,info@joinef.com
Internet Initiatives Development Fund (IIDF),https://www.iidf.ru,info@iidf.ru
AGORANOV,http://www.agoranov.com/,courrier@agoranov.com
Octopus Ventures,http://www.octopusventures.com,info@octopusvnetures.com
Balderton Capital,http://www.balderton.com,inbound@balderton.com
European Investment Bank,https://www.eib.org,Infodesk@eib.org
Idinvest Partners,http://www.idinvest.com,contact@idinvest.com
LocalGlobe,http://www.localglobe.vc,rose@localglobe.vc
Pitch@Palace,http://pitchatpalace.com,support@pitchatpalace.com
British International Investment,https://www.bii.co.uk,enquiries@bii.co.uk
Future Planet Capital,https://futureplanetcapital.com,info@futureplanetcapital.com
Novo Holdings,https://www.novoholdings.dk,cims@novo.dk
Par Equity,http://www.parequity.com,info@parequity.com
Scottish Investment Bank,https://www.scottish-enterprise.com/our-organisation/about-us/who-we-work-with/scottish-investment-bank,advice@scotent.co.uk
Scottish Enterprise,http://www.scottish-enterprise.com/,enquiries@scotent.co.uk
Sofinnova Partners,https://www.sofinnovapartners.com,info@sofinnovapartners.com
Outlier Ventures,https://www.outlierventures.io,contact@outlierventures.io
Tenity,https://www.tenity.com,info@tenity.com
Parkwalk Advisors,https://parkwalkadvisors.com/,enquiries@parkwalkadvisors.com
Seedrs,http://www.seedrs.com,support@seedrs.com
Eleven Ventures,http://11.vc,eleven@11.me
European Bank for Reconstruction and Development,https://www.ebrd.com,info@ebrd.com
Picus Capital,http://www.picuscap.com,info@picuscap.com
Portugal Ventures,http://www.portugalventures.pt,contact@portugalventures.pt
Eurazeo,https://www.eurazeo.com,accueil@eurazeo.com
Sting,http://www.sting.co,maria.ljungberg@sting.co
Foundation for Innovation and Technology (FIT),https://fondation-fit.ch/en/who-is-fit/,info@fondation-fit.ch
Ascension,https://www.ascension.vc,info@ascension.vc
Point Nine,http://www.pointnine.com,info@pointninecap.com
IP Group,http://www.ipgroupplc.com,media@ipgroupplc.com
Seventure Partners,http://www.seventure.fr,contact@seventure.fr
Development Bank of Wales,https://developmentbank.wales/,info@developmentbank.wales
SICTIC,http://www.sictic.ch/,info@sictic.ch
Amadeus Capital Partners,https://amadeuscapital.com,info@amadeuscapital.com
Creandum,http://www.creandum.com,info@creandum.com
Novartis Venture Fund,http://www.nvfund.com,klydon@sosei.com
Lanzadera Accelerator,http://www.lanzadera.es/,info@lanzadera.es
Anthemis,http://www.anthemis.com,ecosystemteam@anthemis.com
Omnes Capital,https://www.omnescapital.com/en/,contact@omnescapital.com
Vaekstfonden,http://www.vf.dk,vf@vf.dk
Bayern Kapital,https://bayernkapital.de,info@bayernkapital.de
tech2b Inkubator,http://tech2b.at/,office@tech2b.at
Rockstart,http://www.rockstart.com/,team@rockstart.com
b2venture,http://www.b2venture.vc,berlin@b2venture.vc
HBM Healthcare Investments,http://www.hbmhealthcare.com,info@hbmhealthcare.com
Atomico,http://www.atomico.com,contact@atomico.com
IBB Ventures,https://www.ibbventures.de/,info@ibbventures.de
Wellington Partners,http://www.wellington-partners.com,businessplan@wellington-partners.com
Notion Capital,https://notion.vc,info@notion.vc
Verve Ventures,http://verve.vc,info@verve.vc
EIT InnoEnergy,http://www.innoenergy.com,benelux@innoenergy.com
Chalmers Ventures AB,http://www.chalmersventures.com/,info@chalmersventures.com
Deutsche Bank,https://www.db.com,deutsche.bank@db.com
Alven,https://www.alven.co/,contact@alven.com
EIT Digital Accelerator,https://www.eitdigital.eu/accelerator/,accelerator@eitdigital.eu
Apax Partners,http://www.apax.com/,Communications@apax.com
MMC Ventures,http://www.mmc.vc,fundenquiries@mmc.vc
Cherry Ventures,http://www.cherry.vc,press@cherry.vc
Atlantic Labs,http://www.atlanticlabs.de,info@atlanticlabs.de
RTP Global,https://rtp.vc/,info@rtp.vc
Molten Ventures,https://www.moltenventures.com,info@molten.vc
360 Capital,https://360cap.vc/,info@360cap.vc
XAnge,https://www.xange.vc,contact@xange.fr
The FSE Group,http://www.thefsegroup.com,fundingenquiries@thefsegroup.com
Target Global,http://www.targetglobal.vc,info@targetglobal.vc
Seed Capital,http://www.seedcapital.dk,info@seedcapital.dk
Ventech,http://www.ventechvc.com,contact@ventechvc.com
Project A Ventures,http://www.project-a.com,info@project-a.com
TA Ventures,http://www.taventures.vc,info@taventures.vc
Inveready,https://inveready.com/,info@inveready.com
Ukrainian Startup Fund,https://usf.com.ua/en,support@usf.com.ua
Industrifonden,http://www.industrifonden.com,info@industrifonden.com
WILCO,http://www.wilco-ambitions.com/,industry@wilco-ambitions.com
Foresight Group,http://www.foresightgroup.eu/,info@foresightgroup.eu
NDRC,http://www.ndrc.ie,info@ndrc.ie
Elaia,https://www.elaia.com,contact@elaia.com
Andera Partners,https://www.anderapartners.com/en/,contact@bper.ch
Maven Capital Partners,https://www.mavencp.com/,enquiries@mavencp.com
Newfund,http://www.newfundcap.com,contact@newfundcap.com
ENISA,http://www.enisa.es,info@enisa.es
Bethnal Green Ventures,https://bethnalgreenventures.com/apply,hello@bethnalgreenventures.com
Innovation Capital,https://www.innovationcapital.bg/,apply@innovationcapital.bg
Aster,http://www.aster.com,contact@aster.com
Lakestar,http://www.lakestar.com,IR@lakestar.com
Salica,https://salicainvestments.com,info@salicainvest.com
Haatch,http://www.haatch.com,hello@haatch.com
DigitalHealth.London Accelerator,http://digitalhealth.london/accelerator/,info@digitalhealth.london
Criteria Venture Tech,https://www.criteriaventuretech.com,tech@criteria.com
Oxford Capital,http://www.oxcp.com,info@oxcp.com
Gimv,http://www.gimv.com,info@gimv.com
KfW,https://www.kfw.de,info@kfw.de
Baillie Gifford,https://www.bailliegifford.com,help@bailliegifford.com
Abingworth,http://www.abingworth.com,info@abingworth.com
Passion Capital,https://www.passioncapital.com/,info@passioncapital.com
EQT Life Sciences,https://www.lspvc.com,lspamsterdam@lspvc.com
