Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Contact Email,Website
Bpifrance,https://www.crunchbase.com/organization/bpifrance,"1,520",183,"Maisons-alfort, Ile-de-France, France",F3A@bpifrance.fr,https://www.bpifrance.com
Venture Kick,https://www.crunchbase.com/organization/venturekick,"1,375",72,"Schlieren, Zurich, Switzerland",info@venturekick.ch,http://www.venturekick.ch
European Innovation Council,https://www.crunchbase.com/organization/european-innovation-council,"1,161",30,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",,https://eic.ec.europa.eu
Innovate UK,https://www.crunchbase.com/organization/innovate-u-k-,"1,154",70,"Swindon, Wiltshire, United Kingdom",support@innovateuk.ukri.org,http://www.innovateuk.gov.uk
Wayra,https://www.crunchbase.com/organization/wayra,"1,136",53,"Madrid, Madrid, Spain",wayra@wayra.org,https://www.wayra.com
Global Founders Capital,https://www.crunchbase.com/organization/global-founders-capital,999,105,"Berlin, Berlin, Germany",contact@globalfounderscapital.com,https://www.globalfounderscapital.com
HTGF (High-Tech Gruenderfonds),https://www.crunchbase.com/organization/high-tech-gründerfonds,952,126,"Bonn, Nordrhein-Westfalen, Germany",info@htgf.de,https://www.htgf.de
Enterprise Ireland,https://www.crunchbase.com/organization/enterprise-ireland,838,113,"Dublin, Dublin, Ireland",equitydept@enterprise-ireland.com,http://enterprise-ireland.com
Kima Ventures,https://www.crunchbase.com/organization/kima-ventures,834,120,"Paris, Ile-de-France, France",,http://www.kimaventures.com
Hiventures,https://www.crunchbase.com/organization/hiventures,745,7,"Budapest, Budapest, Hungary",info@hiventures.hu,https://hiventures.hu/hu
SFC Capital,https://www.crunchbase.com/organization/startup-funding-club,700,21,"Northwich, Cheshire, United Kingdom",info@sfccapital.com,http://www.sfccapital.com/
Technology Development Fund,https://www.crunchbase.com/organization/technologydevelopmentfund,694,14,"Reykjavík, Gullbringusysla, Iceland",rannis@rannis.is,https://en.rannis.is/funding/research/technology-development-fund
Seedcamp,https://www.crunchbase.com/organization/seedcamp,627,74,"London, England, United Kingdom",info@seedcamp.com,http://www.seedcamp.com
Startup Wise Guys,https://www.crunchbase.com/organization/startup-wise-guys,623,13,"Tallinn, Harjumaa, Estonia",info@startupwiseguys.com,https://startupwiseguys.com/
Almi Invest,https://www.crunchbase.com/organization/almi-invest,617,50,"Stockholm, Stockholms Lan, Sweden",anna.wennerstein@almiinvest.se,https://www.almi.se/en/venture-capital/
Startupbootcamp,https://www.crunchbase.com/organization/startupbootcamp,611,49,"London, England, United Kingdom",info@startupbootcamp.org,http://www.startupbootcamp.org
Partech,https://www.crunchbase.com/organization/partech,597,108,"Paris, Ile-de-France, France",media@partechpartners.com,https://partechpartners.com
Eight Roads Ventures,https://www.crunchbase.com/organization/eight-roads-ventures,543,123,"London, England, United Kingdom",,https://eightroads.com/en/
Northstar Ventures,https://www.crunchbase.com/organization/northstar-ventures,542,27,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",hello@northstarventures.co.uk,http://www.northstarventures.co.uk
Speedinvest,https://www.crunchbase.com/organization/speedinvest,524,48,"Vienna, Wien, Austria",office@speedinvest.com,http://speedinvest.com
HV Capital,https://www.crunchbase.com/organization/holtzbrinck-ventures,476,92,"Munich, Bayern, Germany",info@hvcapital.com,http://www.hvcapital.com
3i Group,https://www.crunchbase.com/organization/3i-group,474,192,"London, England, United Kingdom",irteam@3i.com,http://www.3i.com
Business Growth Fund,https://www.crunchbase.com/organization/business-growth-fund,471,94,"London, England, United Kingdom",enquiries@businessgrowthfund.co.uk,https://www.bgf.co.uk
Entrepreneurs First,https://www.crunchbase.com/organization/entrepreneur-first,467,39,"London, England, United Kingdom",info@joinef.com,http://www.joinef.com
SoftBank Vision Fund,https://www.crunchbase.com/organization/softbank-vision-fund,462,74,"London, England, United Kingdom",,https://visionfund.com
