Name,Website
British Business Bank,http://british-business-bank.co.uk
Monzo,https://monzo.com
Cherry Ventures,http://www.cherry.vc
Bpifrance,https://www.bpifrance.com
Creandum,http://www.creandum.com
LocalGlobe,http://www.localglobe.vc
EQT,https://eqtgroup.com
Speedinvest,http://speedinvest.com
Deutsche Bank,https://www.db.com
HTGF (High-Tech Gruenderfonds),https://www.htgf.de
Lakestar,http://www.lakestar.com
Hummingbird Ventures,http://www.hummingbird.vc
Santander,https://www.santander.com/
Norrsken VC,https://www.norrsken.org/norrskenvc
Haatch,http://www.haatch.com
Verdane,http://www.verdane.com
Passion Capital,https://www.passioncapital.com/
Alven,https://www.alven.co/
Revent,https://www.revent.vc/
Capnamic,http://capnamic.com
KAYA,https://www.kaya.vc/
BNP Paribas,https://group.bnpparibas
468 Capital,https://www.468cap.com
AVP,https://www.avpcap.com 
The Twenty Minute VC,http://www.thetwentyminutevc.com
CVC Capital Partners,http://www.cvc.com
Target Global,http://www.targetglobal.vc
Pitchdrive,https://www.pitchdrive.com
Maven Capital Partners,https://www.mavencp.com/
Verve Ventures,http://verve.vc
Future Energy Ventures,https://fev.vc
Seraphim Space,https://seraphim.vc
Par Equity,http://www.parequity.com
K Fund,http://kfund.vc
Amadeus Capital Partners,https://amadeuscapital.com
Ascension,https://www.ascension.vc
Atlantic Labs,http://www.atlanticlabs.de
Inveready,https://inveready.com/
SFC Capital,http://www.sfccapital.com/
Faber,http://faber.vc
Ahren Innovation Capital,http://www.ahreninnovationcapital.com/
Draper B1,https://draperb1.vc/
Superhero Capital,http://superherocapital.com
KOMPAS VC,http://www.kompas.vc
XAnge,https://www.xange.vc
Ventech,http://www.ventechvc.com
Seedcamp,http://www.seedcamp.com
Partech,https://partechpartners.com
Barclays,https://home.barclays
Anthemis,http://www.anthemis.com
Flyer One Ventures,https://flyerone.vc/
IQ Capital,http://www.iqcapital.vc
Praetura Ventures,https://www.praeturaventures.com
NRW.BANK,http://www.nrwbank.de
Intesa Sanpaolo,https://www.intesasanpaolo.com/
CapitalT,https://www.capitaltvc.com/
OSS Ventures,https://www.oss.ventures
Luminar Ventures,https://www.luminarventures.com/
Suma Capital,http://www.sumacapital.com
Startup Wise Guys,https://startupwiseguys.com/
Newfund,http://www.newfundcap.com
Lifeline Ventures,http://www.lifelineventures.com
Kickfund,https://www.kickfund.ch/
Entrepreneurs First,http://www.joinef.com
noa,https://www.noavc.com/
Balderton Capital,http://www.balderton.com
42CAP,http://www.42cap.com
United Ventures,https://unitedventures.com
Inventure,https://inventure.vc/
Banco BPM,https://www.bancobpm.it/
NatWest Group,https://natwestgroup.com
Notion Capital,https://notion.vc
HV Capital,http://www.hvcapital.com
Seedrs,http://www.seedrs.com
Northstar Ventures,http://www.northstarventures.co.uk
Revo Capital,http://www.revo.vc
Btomorrow Ventures,https://www.btomorrowv.com
Episode 1,http://www.episode1.com
Demeter,http://demeter-im.com/en
Visionaries Club,https://visionaries.vc
Anterra Capital,http://www.anterracapital.com/
Development Bank of Wales,https://developmentbank.wales/
Planet A Ventures,https://planet-a.com/#contact
Parkwalk Advisors,https://parkwalkadvisors.com/
GSR,https://www.gsr.io
Seedstars,https://www.seedstars.com/
Contrarian Ventures,http://cventures.vc/
Vento,https://www.vento.ventures
Acurio Ventures,http://www.acurio.vc
Auxxo,https://www.auxxo.de/
Ledger,https://www.ledger.com
Redstone.VC,http://www.redstone.vc
Banco Bilbao Vizcaya Argentaria,https://www.bbva.com/
360 Capital,https://360cap.vc/
Eleven Ventures,http://11.vc
Enterprise Ireland,http://enterprise-ireland.com
BY Venture Partners,https://byvp.com/
Alliance VC,https://alliance.vc
Simon Capital,https://www.simoncapital.com
