Organization/Person Name,Organization/Person Name URL,Location,Industries,Number of Portfolio Organizations,Number of Exits,Number of Investments,Contact Email,Website
Lakestar,https://www.crunchbase.com/organization/lakestar,"Zürich, Zurich, Switzerland","FinTech, Real Estate, Telecommunications",124,28,196,IR@lakestar.com,http://www.lakestar.com
HTGF (High-Tech Gruenderfonds),https://www.crunchbase.com/organization/high-tech-gründerfonds,"Bonn, Nordrhein-Westfalen, Germany","Hardware, Health Care, Software, Venture Capital",666,126,954,info@htgf.de,https://www.htgf.de
Norrsken VC,https://www.crunchbase.com/organization/norrsken-vc,"Stockholm, Stockholms Lan, Sweden","Business Development, Financial Services, Venture Capital",62,2,90,info@norrsken.vc,https://www.norrsken.org/norrskenvc
Hummingbird Ventures,https://www.crunchbase.com/organization/hummingbird-ventures,"Watermael-boitsfort, Brussels Hoofdstedelijk Gewest, Belgium","Finance, Financial Services, Life Science, Therapeutics, Venture Capital",76,13,127,hello@hummingbird.vc,http://www.hummingbird.vc
Santander,https://www.crunchbase.com/organization/banco-santander,"Boadilla Del Monte, Madrid, Spain","Banking, Commercial Lending, Finance, Financial Services, Personal Finance",84,31,87,accionistas@santander.com,https://www.santander.com/
Haatch,https://www.crunchbase.com/organization/haatch,"Stamford, Lincolnshire, United Kingdom","Angel Investment, Finance, Venture Capital",132,4,199,hello@haatch.com,http://www.haatch.com
Verdane,https://www.crunchbase.com/organization/verdane,"Oslo, Oslo, Norway","Finance, Financial Services, Impact Investing, Venture Capital",104,28,124,office@verdane.com,http://www.verdane.com
Passion Capital,https://www.crunchbase.com/organization/passion-capital,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",96,25,186,info@passioncapital.com,https://www.passioncapital.com/
Alven,https://www.crunchbase.com/organization/alven-capital,"Paris, Ile-de-France, France","Blockchain, Consumer Applications, Cryptocurrency, Data Management, Developer Tools, Financial Services, FinTech, Gaming, Information Technology, Venture Capital",133,39,237,contact@alven.com,https://www.alven.co/
Revent,https://www.crunchbase.com/organization/revent-capital,"Berlin, Berlin, Germany","EdTech, Education, Financial Services, FinTech, Government, Health Care",25,1,34,info@revent.vc,https://www.revent.vc/
Capnamic,https://www.crunchbase.com/organization/capnamic-ventures,"Cologne, Nordrhein-Westfalen, Germany","Finance, Financial Services, Venture Capital",73,19,126,info@capnamic.com,http://capnamic.com
468 Capital,https://www.crunchbase.com/organization/468-capital,"Berlin, Berlin, Germany","Finance, Financial Services, Venture Capital",123,11,154,contact@468cap.com,https://www.468cap.com
KAYA,https://www.crunchbase.com/organization/kaya-8ed9,"Prague, Hlavni mesto Praha, Czech Republic","Finance, Financial Services, Venture Capital",45,10,68,info@kaya.vc,https://www.kaya.vc/
BNP Paribas,https://www.crunchbase.com/organization/bnp-paribas,"Paris, Ile-de-France, France","Banking, Consumer Lending, Financial Services, Innovation Management, Wealth Management",193,68,206,enquiries@au.bnpparibas.com,https://group.bnpparibas
AVP,https://www.crunchbase.com/organization/axa-strategic-ventures,"Paris, Ile-de-France, France","Finance, Financial Services, Venture Capital",88,17,127,sebastien.loubry@avpcap.com,https://www.avpcap.com 
The Twenty Minute VC,https://www.crunchbase.com/organization/the-twenty-minute-vc,"London, England, United Kingdom","Business Development, Finance, Podcast, Venture Capital",58,6,62,amy@x.ai,http://www.thetwentyminutevc.com
Target Global,https://www.crunchbase.com/organization/target-ventures,"London, England, United Kingdom","Finance, Financial Services, FinTech, Venture Capital",138,24,224,info@targetglobal.vc,http://www.targetglobal.vc
CVC Capital Partners,https://www.crunchbase.com/organization/cvc-capital-partners,"Luxembourg, Luxembourg, Luxembourg","Finance, Financial Services, Venture Capital",90,41,92,info@cvc.com,http://www.cvc.com
